name,description,founded_year,city,logo
ДЮСШ Баришівка,2018 р-н,2010,Баришівка,
ФК Зазим'є,2018 р-н,2003,Зазим'я,
Атлант-2 (Бориспіль),2018 р-н,2015,Бориспіль,
ФК Північ (Чернігів),2018 р-н,2012,Чернігів,
ФК Княжичі,2018 р-н,2014,Княжичі,
Фортуна (Березань),2018 р-н,2020,Березань,
ФК Форвард (с. Гора),2018 р-н,2016,Гора,
НСК Ураган (Бровари),2018 р-н,2011,Бровари,
ФК Ювентус,Товариський суперник клубу,1897,Турин,
ФК Манчестер,Товариський суперник клубу,1878,Манчестер,
ФК Барселона,Товариський суперник клубу,1899,Барселона,
